danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,album_name,artist_name
0.297,0.443,1,-10.2,1,0.0276,0.513,1.51e-05,0.0814,0.822,151.262,audio_features,37IbogAZ0XFuZA0npvUlfH,spotify:track:37IbogAZ0XFuZA0npvUlfH,https://api.spotify.com/v1/tracks/37IbogAZ0XFuZA0npvUlfH,https://api.spotify.com/v1/audio-analysis/37IbogAZ0XFuZA0npvUlfH,229787,4,Across The Universe - 2021 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.397,0.542,4,-9.144,0,0.052,0.244,0.0,0.0722,0.608,127.755,audio_features,3o0lWzTEAHVJMjvkELl42J,spotify:track:3o0lWzTEAHVJMjvkELl42J,https://api.spotify.com/v1/tracks/3o0lWzTEAHVJMjvkELl42J,https://api.spotify.com/v1/audio-analysis/3o0lWzTEAHVJMjvkELl42J,148000,4,I Me Mine - 2021 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.322,0.331,3,-10.519,1,0.0273,0.795,0.0037,0.213,0.342,66.122,audio_features,6zMgqzPhJW9A9ylqVzE0DC,spotify:track:6zMgqzPhJW9A9ylqVzE0DC,https://api.spotify.com/v1/tracks/6zMgqzPhJW9A9ylqVzE0DC,https://api.spotify.com/v1/audio-analysis/6zMgqzPhJW9A9ylqVzE0DC,217613,4,The Long And Winding Road - 2021 Mix,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.438,0.547,4,-7.895,0,0.027,0.217,6.5e-05,0.314,0.4,87.188,audio_features,7eT64Q8X2RsgMm4lqtWK4n,spotify:track:7eT64Q8X2RsgMm4lqtWK4n,https://api.spotify.com/v1/tracks/7eT64Q8X2RsgMm4lqtWK4n,https://api.spotify.com/v1/audio-analysis/7eT64Q8X2RsgMm4lqtWK4n,248640,4,Now And Then,The Beatles 1967 – 1970 (2023 Edition),The Beatles
0.477,0.542,7,-7.111,1,0.0311,0.183,0.0,0.26,0.712,142.59,audio_features,0BowNHHxtXVyLMXxS31LBe,spotify:track:0BowNHHxtXVyLMXxS31LBe,https://api.spotify.com/v1/tracks/0BowNHHxtXVyLMXxS31LBe,https://api.spotify.com/v1/audio-analysis/0BowNHHxtXVyLMXxS31LBe,145640,4,Love Me Do - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.491,0.722,4,-5.5,1,0.0308,0.22,0.0,0.071,0.859,139.534,audio_features,6dCq7bLa4j3ZFkOGeUbInk,spotify:track:6dCq7bLa4j3ZFkOGeUbInk,https://api.spotify.com/v1/tracks/6dCq7bLa4j3ZFkOGeUbInk,https://api.spotify.com/v1/audio-analysis/6dCq7bLa4j3ZFkOGeUbInk,120573,4,Please Please Me - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.506,0.915,4,-4.752,1,0.0415,0.0512,0.0,0.136,0.964,80.027,audio_features,0KBiapvpNxIP3t96GCNYF4,spotify:track:0KBiapvpNxIP3t96GCNYF4,https://api.spotify.com/v1/tracks/0KBiapvpNxIP3t96GCNYF4,https://api.spotify.com/v1/audio-analysis/0KBiapvpNxIP3t96GCNYF4,173013,4,I Saw Her Standing There - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.473,0.9,2,-5.592,1,0.0688,0.659,0.0,0.167,0.847,124.534,audio_features,39js8qHOPRhKMxl6Qxg55F,spotify:track:39js8qHOPRhKMxl6Qxg55F,https://api.spotify.com/v1/tracks/39js8qHOPRhKMxl6Qxg55F,https://api.spotify.com/v1/audio-analysis/39js8qHOPRhKMxl6Qxg55F,154787,4,Twist And Shout - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.627,0.74,0,-5.841,1,0.0341,0.323,0.0,0.142,0.965,136.072,audio_features,0mSENYfJHYpzPCKe0K1MTJ,spotify:track:0mSENYfJHYpzPCKe0K1MTJ,https://api.spotify.com/v1/tracks/0mSENYfJHYpzPCKe0K1MTJ,https://api.spotify.com/v1/audio-analysis/0mSENYfJHYpzPCKe0K1MTJ,117747,4,From Me To You - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
0.4,0.836,7,-6.791,1,0.0359,0.377,0.0,0.0652,0.907,75.403,audio_features,01K1zFyjJhG2Qk7PIkSAEA,spotify:track:01K1zFyjJhG2Qk7PIkSAEA,https://api.spotify.com/v1/tracks/01K1zFyjJhG2Qk7PIkSAEA,https://api.spotify.com/v1/audio-analysis/01K1zFyjJhG2Qk7PIkSAEA,142160,4,She Loves You - 2023 Mix,The Beatles 1962 – 1966 (2023 Edition),The Beatles
